name,barcode,order,quantity,
CST-280236525:10.1,8592165096582,from stock,0,
CST-280236525:9.1,8592165112046,from stock,0,
CST-281:13.2,8592165073385,from stock,0,
CST-281:14.2,8592165027715,from stock,0,
CST-281:15.2,8592165067438,from stock,0,
CST-284:12.1,8592165040288,from stock,0,
CST-284:13.1,8592165025032,from stock,0,
CST-284:14.1,8592165014449,from stock,0,
CST-284:15.1,8592165014456,from stock,0,
CST-284:15.2,8592165067476,from stock,0,
CST-284:16.1,8592165120928,from stock,0,
CST-286:15.2,8592165118062,from stock,0,
CST-287:14.1,8592165120898,from stock,0,
CST-287:14.2,8592165118048,from stock,0,
CST-288:17.2,8592165105901,from stock,0,
CST-288:18.2,8592165092829,from stock,0,
CST-289:16.2,8592165106540,from stock,0,
CST-290:14.2,8592165118093,from stock,0,
CST-290:15.2,8592165118109,from stock,0,
CST-291:15.2,8592165106281,from stock,0,
CST-291:16.1,8592165112077,from stock,0,
CST-292:16.2,8592165118055,from stock,0,
CST-293:15.2,8592165105970,from stock,0,
CST-293:16.2,8592165122335,from stock,0,
CST-294:15.2,8592165118116,from stock,0,
CST-295:14.2,8592165106434,from stock,0,
CST-295:15.1,8592165112107,from stock,0,
CST-295:15.2,8592165100517,from stock,0,
CST-296:15.1,8592165067483,from stock,0,
CST-296:15.2,8592165025063,from stock,0,
CST-296:16.1,8592165067490,from stock,0,
CST-296:16.2,8592165039084,from stock,0,
CST-296:17.2,8592165110011,from stock,0,
CST-297:14.2,8592165109923,from stock,0,
CST-297:15.2,8592165100524,from stock,0,
CST-297:16.1,8592165120935,from stock,0,
CST-306:15.2,8592165100531,from stock,0,
CST-308:14.1,8592165090443,from stock,0,
CST-308:15.1,8592165093062,from stock,0,
CST-308:15.2,8592165076898,from stock,0,
CST-309:14.1,8592165067513,from stock,0,
CST-309:14.2,8592165054124,from stock,0,
CST-309:15.1,8592165039091,from stock,0,
CST-309:15.2,8592165054131,from stock,0,
CST-314:15.2,8592165106175,from stock,0,
CST-314:16.2,8592165056548,from stock,0,
CST-3221:11.1,8592165106908,from stock,0,
CST-3221:13.1,8592165106847,from stock,0,
CST-326:12.1,8592165012094,from stock,0,
CST-326:13.1,8592165014463,from stock,0,
CST-326:13.2,8592165067537,from stock,0,
CST-326:14.1,8592165015798,from stock,0,
CST-326:14.2,8592165067544,from stock,0,
CST-327:12.1,8592165092836,from stock,0,
CST-327:13.1,8592165027722,from stock,0,
CST-327:13.2,8592165056555,from stock,0,
CST-327:14.1,8592165067551,from stock,0,
CST-327:15.1,8592165092843,from stock,0,
CST-328:12.1,8592165073392,from stock,0,
CST-329:13.2,8592165106694,from stock,0,
CST-331:14.2,8592165118123,from stock,0,
CST-331:15.2,8592165118130,from stock,0,
CST-333:14.2,8592165107011,from stock,0,
CST-333:15.2,8592165027821,from stock,0,
CST-333:16.2,8592165023960,from stock,0,
CST-333:17.2,8592165119786,from stock,0,
CST-335:15.1,8592165120959,from stock,0,
CST-335:15.2,8592165118147,from stock,0,
CST-337:13.1,8592165120904,from stock,0,
CST-337:14.1,8592165120911,from stock,0,
CST-338:16.2,8592165118079,from stock,0,
CST-338:17.2,8592165118086,from stock,0,
CST-339:15.2,8592165106519,from stock,0,
CST-339:16.2,8592165029047,from stock,0,
CST-339:17.2,8592165023977,from stock,0,
CST-339:18.2,8592165054339,from stock,0,
CST-340:18.2,8592165118154,from stock,0,
CST-361:10.2,8592165106601,from stock,0,
CST-394:13.2,8592165105925,from stock,0,
CST-394:14.2,8592165106687,from stock,0,
CST-394:15.2,8592165105932,from stock,0,
CST-394:16.2,8592165100548,from stock,0,
CST-394:17.2,8592165100555,from stock,0,
CST-4004:13.2,8592165115627,from stock,0,
CST-4004:14.2,8592165115634,from stock,0,
CST-402:15.2,8592165106700,from stock,0,
CST-402:16.1,8592165054346,from stock,0,
CST-402:16.2,8592165029054,from stock,0,
CST-402:18.2,8592165067667,from stock,0,
CST-404:16.2,8592165114255,from stock,0,
CST-404:17.2,8592165106656,from stock,0,
CST-4041:15.2,8592165085982,from stock,0,
CST-4054:14.2,8592165045351,from stock,0,
CST-4054:15.2,8592165056562,from stock,0,
CST-4054_520:14.2,8592165030517,from stock,0,
CST-4054_520:15.2,8592165030524,from stock,0,
CST-4054_530:14.2,8592165098531,from stock,0,
CST-4054_530:15.2,8592165110028,from stock,0,
CST-409:14.1,8592165115610,from stock,0,
CST-409:15.1,8592165092850,from stock,0,
CST-409:16.1,8592165093079,from stock,0,
CST-410:13.2,8592165106557,from stock,0,
CST-410:14.2,8592165109954,from stock,0,
CST-410:15.2,8592165109961,from stock,0,
CST-413:12.2,8592165106663,from stock,0,
CST-413:13.2,8592165106854,from stock,0,
CST-416:13.1,8592165014470,from stock,0,
CST-416:14.1,8592165014487,from stock,0,
CST-416:15.1,8592165029061,from stock,0,
CST-417:13.2,8592165106731,from stock,0,
CST-417:14.2,8592165106298,from stock,0,
CST-417:15.2,8592165106328,from stock,0,
CST-417:16.2,8592165106090,from stock,0,
CST-420:15.2,8592165118215,from stock,0,
CST-421:13.1,8592165107035,from stock,0,
CST-422:12.1,8592165092867,from stock,0,
CST-423:16.2,8592165092874,from stock,0,
CST-423:17.2,8592165085975,from stock,0,
CST-423:18.2,8592165085968,from stock,0,
CST-425:13.2,8592165110004,from stock,0,
CST-425:14.2,8592165110301,from stock,0,
CST-425:15.2,8592165106052,from stock,0,
CST-426:12.2,8592165117492,from stock,0,
CST-426:14.2,8592165100562,from stock,0,
CST-427:11.1,8592165044217,from stock,0,
CST-427:12.1,8592165017686,from stock,0,
CST-427:13.1,8592165028521,from stock,0,
CST-427:14.1,8592165017037,from stock,0,
CST-429:12.2,8592165118178,from stock,0,
CST-430:12.1,8592165044286,from stock,0,
CST-430:13.1,8592165028583,from stock,0,
CST-430:13.2,8592165067759,from stock,0,
CST-430:14.1,8592165028590,from stock,0,
CST-430:14.2,8592165067766,from stock,0,
CST-430:15.1,8592165040295,from stock,0,
CST-431:14.2,8592165067797,from stock,0,
CST-432:12.1,8592165029078,from stock,0,
CST-432:13.1,8592165014494,from stock,0,
CST-432:14.1,8592165014500,from stock,0,
CST-432:15.1,8592165029085,from stock,0,
CST-432:16.1,8592165029092,from stock,0,
CST-432:16.2,8592165067834,from stock,0,
CST-433:14.2,8592165106069,from stock,0,
CST-434:14.2,8592165117508,from stock,0,
CST-434:15.2,8592165105987,from stock,0,
CST-435:15.2,8592165118208,from stock,0,
CST-436:14.1,8592165112084,from stock,0,
CST-437:15.2,8592165106182,from stock,0,
CST-437:16.2,8592165106571,from stock,0,
CST-438:15.2,8592165067858,from stock,0,
CST-440:16.2,8592165118222,from stock,0,
CST-451:10.1,8592165091983,from stock,0,
CST-451:10.2,8592165091624,from stock,0,
CST-451:11.2,8592165106670,from stock,0,
CST-451:9.2,8592165106823,from stock,0,
CST-5054:14.2,8592165094809,from stock,0,
CST-5054:15.2,8592165097541,from stock,0,
CST-5054_520:14.2,8592165110035,from stock,0,
CST-5054_520:15.2,8592165108094,from stock,0,
CST-507:13.1,8592165029108,from stock,0,
CST-507:14.1,8592165029115,from stock,0,
CST-507:14.2,8592165092881,from stock,0,
CST-507:15.1,8592165067889,from stock,0,
CST-507:15.2,8592165057033,from stock,0,
CST-511:14.1,8592165092898,from stock,0,
CST-511:15.1,8592165067919,from stock,0,
CST-511:15.2,8592165029122,from stock,0,
CST-512:15.2,8592165027845,from stock,0,
CST-512:16.2,8592165027852,from stock,0,
CST-512:17.2,8592165027869,from stock,0,
CST-513:13.2,8592165092904,from stock,0,
CST-513:14.2,8592165079837,from stock,0,
CST-513:15.2,8592165023984,from stock,0,
CST-513:16.2,8592165022369,from stock,0,
CST-513:17.2,8592165024004,from stock,0,
CST-513:18.2,8592165024011,from stock,0,
CST-514:15.2,8592165118246,from stock,0,
CST-516:13.1,8592165121789,from stock,0,
CST-516:14.2,8592165092911,from stock,0,
CST-516:15.2,8592165103631,from stock,0,
CST-516:16.2,8592165092928,from stock,0,
CST-517:16.2,8592165082110,from stock,0,
CST-517:17.2,8592165029160,from stock,0,
CST-517:18.2,8592165029177,from stock,0,
CST-519:16.2,8592165029184,from stock,0,
CST-519:17.1,8592165068022,from stock,0,
CST-519:17.2,8592165029191,from stock,0,
CST-520:14.2,8592165106076,from stock,0,
CST-520:15.2,8592165027890,from stock,0,
CST-520:16.2,8592165024028,from stock,0,
CST-520:17.1,8592165068053,from stock,0,
CST-520:17.2,8592165027906,from stock,0,
CST-523:15.2,8592165118253,from stock,0,
CST-527:17.2,8592165092935,from stock,0,
CST-528:17.2,8592165107080,from stock,0,
CST-542:14.2,8592165118185,from stock,0,
CST-546:12.1,8592165014517,from stock,0,
CST-546:13.1,8592165015873,from stock,0,
CST-546:13.2,8592165068077,from stock,0,
CST-546:14.1,8592165029221,from stock,0,
CST-546:14.2,8592165068084,from stock,0,
CST-546:15.1,8592165092942,from stock,0,
CST-546:16.1,8592165058979,from stock,0,
CST-546:16.2,8592165068091,from stock,0,
CST-548:13.2,8592165098104,from stock,0,
CST-548:14.2,8592165106649,from stock,0,
CST-555:13.1,8592165093086,from stock,0,
CST-555:14.1,8592165092959,from stock,0,
CST-558:13.1,8592165044224,from stock,0,
CST-558:14.1,8592165001555,from stock,0,
CST-558:14.2,8592165106267,from stock,0,
CST-558:15.1,8592165029245,from stock,0,
CST-558:15.2,8592165106199,from stock,0,
CST-558:16.2,8592165106342,from stock,0,
CST-558:17.2,8592165106441,from stock,0,
CST-563:11.2,8592165106458,from stock,0,
CST-563:12.2,8592165117515,from stock,0,
CST-564:12.1,8592165029252,from stock,0,
CST-564:13.1,8592165029269,from stock,0,
CST-564:14.1,8592165015927,from stock,0,
CST-565:12.1,8592165049359,from stock,0,
CST-565:13.1,8592165022734,from stock,0,
CST-565:14.1,8592165001562,from stock,0,
CST-565:15.1,8592165001579,from stock,0,
CST-565:16.1,8592165100463,from stock,0,
CST-567:15.2,8592165117522,from stock,0,
CST-567:16.2,8592165092966,from stock,0,
CST-568:17.2,8592165107097,from stock,0,
CST-569:12.2,8592165106892,from stock,0,
CST-569:13.1,8592165029276,from stock,0,
CST-569:13.2,8592165058986,from stock,0,
CST-569:14.1,8592165029283,from stock,0,
CST-569:14.2,8592165068206,from stock,0,
CST-569:15.1,8592165028118,from stock,0,
CST-569:16.1,8592165106083,from stock,0,
CST-569:17.2,8592165107059,from stock,0,
CST-571:16.2,8592165100579,from stock,0,
CST-571:17.2,8592165106960,from stock,0,
CST-574:16.2,8592165118161,from stock,0,
CST-575:14.2,8592165029306,from stock,0,
CST-575:15.2,8592165029313,from stock,0,
CST-575:16.2,8592165068244,from stock,0,
CST-576:19.2,8592165107066,from stock,0,
CST-577:14.2,8592165107158,from stock,0,
CST-577:15.1,8592165054353,from stock,0,
CST-577:15.2,8592165039251,from stock,0,
CST-577:16.2,8592165100586,from stock,0,
CST-578:14.1,8592165056609,from stock,0,
CST-578:15.1,8592165056579,from stock,0,
CST-578:16.1,8592165056586,from stock,0,
CST-578:17.1,8592165079851,from stock,0,
CST-578:18.1,8592165079868,from stock,0,
CST-579:14.2,8592165106878,from stock,0,
CST-579:15.1,8592165059006,from stock,0,
CST-579:15.2,8592165027913,from stock,0,
CST-579:16.2,8592165024035,from stock,0,
CST-579:17.2,8592165024042,from stock,0,
CST-579:18.2,8592165100593,from stock,0,
CST-580:15.1,8592165119793,from stock,0,
CST-580:15.2,8592165079875,from stock,0,
CST-580:16.2,8592165024059,from stock,0,
CST-580:17.1,8592165119809,from stock,0,
CST-580:17.2,8592165029344,from stock,0,
CST-582:15.2,8592165106915,from stock,0,
CST-582:16.2,8592165100609,from stock,0,
CST-583:13.2,8592165106946,from stock,0,
CST-583:14.1,8592165120973,from stock,0,
CST-584:16.2,8592165029351,from stock,0,
CST-584:17.2,8592165029368,from stock,0,
CST-589:12.2,8592165119892,from stock,0,
CST-589:13.2,8592165119915,from stock,0,
CST-623:15.2,8592165057477,from stock,0,
CST-623:16.2,8592165057095,from stock,0,
CST-623:17.2,8592165068336,from stock,0,
CST-700:16.1,8592165119298,from stock,0,
CST-704:15.2,8592165105994,from stock,0,
CST-704:16.2,8592165107141,from stock,0,
CST-704:17.2,8592165106717,from stock,0,
